BERT_sentiment_score,normalised_word_count,pub_day,pub_hour,topic,n_comments
1.0,0.110342619,0.0,5.0,13.0,319
0.0,0.112584054,4.0,9.0,0.0,74
2.0,0.0376561,2.0,1.0,48.0,278
1.0,0.031892411,4.0,16.0,81.0,32
0.0,0.058917707,5.0,15.0,48.0,345
2.0,0.026384886,3.0,16.0,80.0,31
1.0,0.024783862,2.0,13.0,37.0,822
1.0,0.014345181,2.0,16.0,27.0,6
1.0,0.077745757,2.0,22.0,43.0,29
1.0,0.075184118,3.0,10.0,45.0,16
0.0,0.069612552,4.0,19.0,65.0,450
0.0,0.136023055,4.0,9.0,63.0,1161
0.0,0.125392251,4.0,9.0,45.0,110
1.0,0.063336535,3.0,18.0,72.0,5
1.0,0.036055075,4.0,6.0,66.0,19
0.0,0.06557797,1.0,20.0,48.0,33
0.0,0.096701889,1.0,13.0,31.0,513
1.0,0.096317643,0.0,20.0,29.0,41
0.0,0.0831252,1.0,3.0,76.0,245
1.0,0.067435159,2.0,20.0,58.0,27
2.0,0.090361832,1.0,13.0,49.0,31
1.0,0.086775536,2.0,9.0,55.0,113
0.0,0.094972783,4.0,2.0,48.0,86
0.0,0.017867435,3.0,10.0,68.0,30
2.0,0.060518732,2.0,23.0,48.0,336
0.0,0.093948127,2.0,9.0,65.0,21
2.0,0.080755684,4.0,9.0,27.0,48
2.0,0.085558758,1.0,10.0,45.0,197
2.0,0.063464617,3.0,9.0,69.0,159
2.0,0.062952289,2.0,10.0,74.0,37
2.0,0.073647134,1.0,13.0,15.0,108
0.0,0.105603586,2.0,12.0,39.0,572
2.0,0.12596862,3.0,1.0,76.0,495
0.0,0.105027217,2.0,11.0,22.0,293
0.0,0.062760167,3.0,16.0,67.0,4
2.0,0.045981428,6.0,17.0,72.0,5
1.0,0.036759526,1.0,13.0,43.0,5
2.0,0.077041306,2.0,9.0,65.0,4
0.0,0.111623439,4.0,3.0,75.0,1484
2.0,0.024591739,1.0,9.0,15.0,36
1.0,0.046045469,2.0,21.0,31.0,40
0.0,0.063464617,2.0,1.0,76.0,807
2.0,0.216458533,2.0,9.0,48.0,992
1.0,0.20582773,5.0,9.0,62.0,290
2.0,0.060838937,2.0,14.0,55.0,22
2.0,0.089337176,4.0,10.0,56.0,85
0.0,0.069228306,3.0,16.0,49.0,27
2.0,0.061543388,5.0,13.0,42.0,114
0.0,0.409798271,2.0,9.0,38.0,278
0.0,0.087800192,3.0,8.0,9.0,22
2.0,0.110983029,1.0,17.0,29.0,16
0.0,0.129811079,5.0,23.0,76.0,1902
0.0,0.047966699,1.0,6.0,66.0,31
2.0,0.095805315,2.0,20.0,64.0,17
0.0,0.075120077,2.0,18.0,70.0,39
2.0,0.098623119,2.0,13.0,55.0,17
2.0,0.131219981,4.0,15.0,38.0,23
0.0,0.09676593,4.0,9.0,26.0,47
2.0,0.033877682,2.0,16.0,29.0,122
0.0,0.103298111,0.0,22.0,75.0,248
1.0,0.086519372,3.0,9.0,45.0,144
0.0,0.222798591,2.0,9.0,43.0,118
1.0,0.073070765,2.0,16.0,32.0,3
1.0,0.100480307,4.0,14.0,19.0,2
